trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.9294046186921237, 'a': 0.9}",35,0,-173.19843616969862,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
43,False,"{'e': 0.9260454613041876, 'a': 0.9}",25,11,-54.870310914899854,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
44,False,"{'e': 0.9226112947402, 'a': 0.9}",20,0,-49.81724065100308,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
45,False,"{'e': 0.9191023971657747, 'a': 0.9}",20,0,-125.8053257897618,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
46,False,"{'e': 0.9155190527996969, 'a': 0.9}",30,0,-182.65597332965663,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
47,False,"{'e': 0.911861551890901, 'a': 0.9}",20,0,-154.7511492259664,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
48,False,"{'e': 0.9081301906949609, 'a': 0.9}",25,0,-241.55145440092684,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
49,False,"{'e': 0.9043252714500934, 'a': 0.9}",30,5,-168.14077520268606,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",1
50,False,"{'e': 0.9004471023526769, 'a': 0.9}",30,0,-114.38040983611872,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
51,False,"{'e': 0.896495997532288, 'a': 0.9}",25,0,-82.28171060705338,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
52,False,"{'e': 0.8924722770262568, 'a': 0.9}",20,3,-71.92717738838907,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 0}",1
53,False,"{'e': 0.8883762667537444, 'a': 0.9}",30,0,-218.2130790103937,"{0: 15, 1: 1, 2: 11, 3: 0, 4: 3}",0
54,False,"{'e': 0.8842082984893433, 'a': 0.9}",25,0,-90.40337030497993,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
55,False,"{'e': 0.8799687098362042, 'a': 0.9}",25,0,-111.94358909235031,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
56,False,"{'e': 0.87565784419869, 'a': 0.9}",35,0,-213.52680544835852,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 5}",0
57,False,"{'e': 0.8712760507545603, 'a': 0.9}",20,0,-43.97560639130842,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
58,False,"{'e': 0.8668236844266883, 'a': 0.9}",30,1,-66.64892155510228,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 1}",1
59,False,"{'e': 0.8623011058543124, 'a': 0.9}",20,0,-203.89442099955625,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
60,False,"{'e': 0.8577086813638242, 'a': 0.9}",20,0,-72.88868919318176,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
61,False,"{'e': 0.8530467829390964, 'a': 0.9}",25,3,-97.24798763512355,"{0: 13, 1: 5, 2: 1, 3: 2, 4: 1}",1
62,False,"{'e': 0.8483157881913526, 'a': 0.9}",20,0,-59.435869591618534,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
63,False,"{'e': 0.8435160803285807, 'a': 0.9}",30,0,-24.938123419036096,"{0: 23, 1: 5, 2: 2, 3: 0, 4: 0}",0
64,False,"{'e': 0.8386480481244933, 'a': 0.9}",25,0,-166.23798657351298,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
65,False,"{'e': 0.8337120858870376, 'a': 0.9}",30,1,-125.677987340642,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 1}",1
66,False,"{'e': 0.8287085934264558, 'a': 0.9}",20,0,-75.23602106332481,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
67,False,"{'e': 0.8236379760229016, 'a': 0.9}",25,0,-133.53653317695554,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
68,False,"{'e': 0.8185006443936125, 'a': 0.9}",20,0,-90.17061007235742,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
69,False,"{'e': 0.8132970146596414, 'a': 0.9}",30,0,-143.78538402593355,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
70,False,"{'e': 0.8080275083121519, 'a': 0.9}",25,0,-230.92766050014123,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
71,False,"{'e': 0.802692552178277, 'a': 0.9}",25,0,-98.50799475529342,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
72,False,"{'e': 0.7972925783865464, 'a': 0.9}",25,0,-113.34976601226094,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
73,False,"{'e': 0.7918280243318853, 'a': 0.9}",20,0,-29.727696790933383,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
74,False,"{'e': 0.786299332640184, 'a': 0.9}",30,0,-170.38729440317016,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",0
75,False,"{'e': 0.7807069511324468, 'a': 0.9}",25,0,-70.4765204527278,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
76,False,"{'e': 0.7750513327885183, 'a': 0.9}",20,2,17.010591195883546,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'e': 0.7693329357103922, 'a': 0.9}",20,0,-122.09561502755008,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
78,False,"{'e': 0.7635522230851051, 'a': 0.9}",20,0,-28.07124048611819,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
79,False,"{'e': 0.7577096631472191, 'a': 0.9}",25,0,-95.3714365936788,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
80,False,"{'e': 0.751805729140895, 'a': 0.9}",30,0,-77.86737223280389,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
81,False,"{'e': 0.7458408992815589, 'a': 0.9}",20,0,-45.4925045285731,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
82,False,"{'e': 0.7398156567171686, 'a': 0.9}",25,0,-7.5023252232004305,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
83,False,"{'e': 0.7337304894890774, 'a': 0.9}",20,0,-13.423044121986711,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
84,False,"{'e': 0.7275858904925034, 'a': 0.9}",20,0,-21.42446706993479,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
85,False,"{'e': 0.7213823574366063, 'a': 0.9}",20,0,-92.72513198957803,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
86,False,"{'e': 0.7151203928041714, 'a': 0.9}",30,0,-108.44073790281742,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 2}",0
